endDate,value_alex,value_james
2017-04-01,13,
2017-04-02,4,
2017-04-03,15,
2017-04-04,14,
2017-04-05,15,
2017-04-06,17,
2017-04-07,15,
2017-04-08,10,
2017-04-09,15,
2017-04-10,15,
2017-04-11,9,
2017-04-12,16,
2017-04-13,16,
2017-04-14,15,
2017-04-15,11,
2017-04-16,15,
2017-04-17,14,
2017-04-18,13,
2017-04-19,17,
2017-04-20,15,
2017-04-21,17,
2017-04-22,13,
2017-04-23,12,
2017-04-24,15,
2017-04-25,15,
2017-04-26,18,
2017-04-27,17,
2017-04-28,18,
2017-04-29,11,
2017-04-30,13,
2017-05-01,15,
2017-05-02,17,
2017-05-03,17,
2017-05-04,17,
2017-05-05,17,
2017-05-06,13,
2017-05-07,13,
2017-05-08,15,
2017-05-09,14,
2017-05-10,16,
2017-05-11,17,
2017-05-12,14,
2017-05-13,15,
2017-05-14,14,
2017-05-15,15,
2017-05-16,16,
2017-05-17,15,
2017-05-18,15,
2017-05-19,16,
2017-05-20,10,
2017-05-21,13,
2017-05-22,13,
2017-05-23,11,
2017-05-24,14,
2017-05-25,15,
2017-05-26,16,
2017-05-27,7,
2017-05-28,8,
2017-05-29,10,
2017-05-30,13,
2017-05-31,15,
2017-06-01,11,
2017-06-02,15,
2017-06-03,4,
2017-06-04,7,
2017-06-05,15,
2017-06-06,14,
2017-06-07,13,
2017-06-08,11,
2017-06-09,15,
2017-06-10,14,
2017-06-11,10,
2017-06-12,14,
2017-06-13,15,
2017-06-14,16,
2017-06-15,14,
2017-06-16,14,
2017-06-17,10,
2017-06-18,14,
2017-06-19,9,
2017-06-20,14,
2017-06-21,15,
2017-06-22,14,
2017-06-23,18,
2017-06-24,13,
2017-06-25,10,
2017-06-26,10,
2017-06-27,13,
2017-06-28,15,
2017-06-29,16,
2017-06-30,14,
2017-07-01,11,
2017-07-02,9,
2017-07-03,13,
2017-07-04,17,
2017-07-05,13,
2017-07-06,14,
2017-07-07,13,
2017-07-08,12,
2017-07-09,11,
2017-07-10,13,
2017-07-11,15,
2017-07-12,13,
2017-07-13,16,
2017-07-14,12,
2017-07-15,16,
2017-07-16,15,
2017-07-17,15,
2017-07-18,13,
2017-07-19,13,
2017-07-20,14,
2017-07-21,16,
2017-07-22,12,
2017-07-23,13,
2017-07-24,16,
2017-07-25,18,
2017-07-26,14,
2017-07-27,15,
2017-07-28,17,
2017-07-29,7,
2017-07-30,6,
2017-07-31,13,
2017-08-01,15,
2017-08-02,15,
2017-08-03,16,
2017-08-04,16,
2017-08-05,12,
2017-08-06,15,
2017-08-07,16,
2017-08-08,17,
2017-08-09,13,
2017-08-10,15,
2017-08-11,15,
2017-08-12,11,
2017-08-13,14,
2017-08-14,17,
2017-08-15,16,
2017-08-16,15,
2017-08-17,14,
2017-08-18,16,
2017-08-19,10,
2017-08-20,15,
2017-08-21,16,
2017-08-22,15,
2017-08-23,13,
2017-08-24,16,
2017-08-25,16,
2017-08-26,14,
2017-08-27,15,
2017-08-28,18,
2017-08-29,11,
2017-08-30,17,
2017-08-31,17,
2017-09-01,15,
2017-09-02,14,
2017-09-03,13,
2017-09-04,11,
2017-09-05,13,
2017-09-06,15,
2017-09-07,15,
2017-09-08,18,
2017-09-09,13,
2017-09-10,17,
2017-09-11,15,
2017-09-12,12,
2017-09-13,15,
2017-09-14,13,
2017-09-15,12,
2017-09-16,11,
2017-09-17,11,
2017-09-18,13,
2017-09-19,14,
2017-09-20,17,
2017-09-21,15,
2017-09-22,14,
2017-09-23,12,
2017-09-24,13,
2017-09-25,11,
2017-09-26,15,
2017-09-27,15,
2017-09-28,16,
2017-09-29,15,
2017-09-30,13,
2017-10-01,12,
2017-10-02,16,
2017-10-03,15,
2017-10-04,13,
2017-10-05,15,
2017-10-06,15,
2017-10-07,11,
2017-10-08,11,
2017-10-09,14,
2017-10-10,10,
2017-10-11,15,
2017-10-12,5,
2017-10-13,16,
2017-10-14,11,
2017-10-15,3,
2017-10-16,15,
2017-10-17,12,
2017-10-18,13,
2017-10-19,12,
2017-10-20,12,
2017-10-21,4,
2017-10-22,13,
2017-10-23,13,
2017-10-24,15,
2017-10-25,13,
2017-10-26,14,
2017-10-27,17,
2017-10-28,14,
2017-10-29,13,
2017-10-30,11,
2017-10-31,15,
2017-11-01,12,
2017-11-02,5,
2017-11-03,16,
2017-11-04,10,
2017-11-05,11,
2017-11-06,13,
2017-11-07,15,
2017-11-08,14,
2017-11-09,15,
2017-11-10,12,
2017-11-11,13,
2017-11-12,11,
2017-11-13,14,
2017-11-14,14,
2017-11-15,12,
2017-11-16,11,
2017-11-17,14,
2017-11-18,12,
2017-11-19,8,
2017-11-20,8,
2017-11-21,12,
2017-11-22,16,
2017-11-23,18,
2017-11-24,16,
2017-11-25,11,
2017-11-26,10,
2017-11-27,16,
2017-11-28,12,
2017-11-29,15,
2017-11-30,15,
2017-12-01,15,
2017-12-02,12,
2017-12-03,8,
2017-12-04,13,
2017-12-05,14,
2017-12-06,14,
2017-12-07,13,
2017-12-08,15,
2017-12-09,17,
2017-12-10,7,
2017-12-11,16,
2017-12-12,14,
2017-12-13,16,
2017-12-14,12,
2017-12-15,11,
2017-12-16,11,
2017-12-17,6,
2017-12-18,15,
2017-12-19,14,
2017-12-20,15,
2017-12-21,16,
2017-12-22,15,
2017-12-23,8,
2017-12-24,15,
2017-12-25,13,
2017-12-26,14,
2017-12-27,12,
2017-12-28,15,
2017-12-29,12,
2017-12-30,10,
2017-12-31,13,
2018-01-01,14,
2018-01-02,18,
2018-01-03,10,
2018-01-04,13,
2018-01-05,13,
2018-01-06,6,
2018-01-07,12,
2018-01-08,15,
2018-01-09,15,
2018-01-10,17,
2018-01-11,12,
2018-01-12,15,
2018-01-13,13,
2018-01-14,8,
2018-01-15,12,
2018-01-16,16,
2018-01-17,13,
2018-01-18,14,
2018-01-19,16,
2018-01-20,10,
2018-01-21,9,
2018-01-22,14,
2018-01-23,14,
2018-01-24,13,
2018-01-25,14,
2018-01-26,15,
2018-01-27,17,
2018-01-28,9,
2018-01-29,14,
2018-01-30,15,
2018-01-31,9,
2018-02-01,13,
2018-02-02,14,
2018-02-03,14,
2018-02-04,12,
2018-02-05,12,
2018-02-06,16,
2018-02-07,13,
2018-02-08,13,
2018-02-09,15,
2018-02-10,8,
2018-02-11,13,
2018-02-12,16,
2018-02-13,12,
2018-02-14,15,
2018-02-15,15,
2018-02-16,15,
2018-02-17,10,
2018-02-18,14,
2018-02-19,15,
2018-02-20,15,
2018-02-21,17,
2018-02-22,13,
