endDate,stand_alex,stand_james,exercise_alex,exercise_james,activeEnergy_alex,activeEnergy_james
2016-09-09,20.0,,62.0,,640.1630000000004,
2016-09-10,6.0,,21.0,,144.52999999999986,
2016-09-11,6.0,,3.0,,165.13899999999953,
2016-09-12,14.0,,5.0,,297.7149999999991,
2016-09-13,12.0,,19.0,,339.0859999999997,
2016-09-14,14.0,,33.0,,454.1499999999994,
2016-09-15,17.0,,28.0,,417.31399999999945,
2016-09-16,15.0,,55.0,,568.0629999999986,
2016-09-17,16.0,,33.0,,465.59599999999983,
2016-09-18,10.0,,34.0,,322.0450000000002,
2016-09-19,16.0,,34.0,,490.2889999999988,
2016-09-20,16.0,,28.0,,408.78799999999984,
2016-09-21,16.0,,27.0,,490.5709999999987,
2016-09-22,15.0,,29.0,,473.85299999999876,
2016-09-23,17.0,,51.0,,615.146999999999,
2016-09-24,10.0,,7.0,,228.747,
2016-09-25,9.0,,13.0,,215.38299999999973,
2016-09-26,16.0,,77.0,,654.5819999999992,
2016-09-27,14.0,,92.0,,692.8139999999994,
2016-09-28,17.0,,98.0,,761.4679999999989,
2016-09-29,16.0,,97.0,,714.8009999999996,
2016-09-30,16.0,,86.0,,624.5279999999992,
2016-10-01,13.0,,51.0,,527.1069999999993,
2016-10-02,13.0,,108.0,,709.6259999999992,
2016-10-03,15.0,,97.0,,700.1769999999992,
2016-10-04,16.0,,91.0,,737.0549999999994,
2016-10-05,14.0,,12.0,,259.41199999999947,
2016-10-06,12.0,,16.0,,313.3869999999996,
2016-10-07,14.0,,48.0,,616.9769999999975,
2016-10-08,16.0,,47.0,,534.3990000000001,
2016-10-09,11.0,,10.0,,201.3389999999989,
2016-10-10,13.0,,93.0,,669.1889999999996,
2016-10-11,17.0,,97.0,,800.3629999999997,
2016-10-12,15.0,,87.0,,696.6159999999995,
2016-10-13,14.0,,98.0,,729.4259999999994,
2016-10-14,17.0,,47.0,,540.5070000000002,
2016-10-15,12.0,,44.0,,454.61999999999983,
2016-10-16,7.0,,2.0,,161.15099999999978,
2016-10-17,15.0,,92.0,,680.2049999999995,
2016-10-18,16.0,,94.0,,612.2699999999992,
2016-10-19,14.0,,107.0,,733.1889999999994,
2016-10-20,12.0,,94.0,,661.3689999999989,
2016-10-21,17.0,,111.0,,879.0269999999998,
2016-10-22,12.0,,111.0,,804.4769999999994,
2016-10-23,13.0,,36.0,,384.37399999999917,
2016-10-24,14.0,,103.0,,767.6069999999994,
2016-10-25,13.0,,99.0,,699.5489999999994,
2016-10-26,14.0,,101.0,,664.9029999999991,
2016-10-27,12.0,,106.0,,713.1129999999994,
2016-10-28,15.0,,78.0,,664.7479999999998,
2016-10-29,14.0,,95.0,,783.3220000000032,
2016-10-30,13.0,,14.0,,249.1409999999996,
2016-10-31,15.0,,113.0,,764.0889999999993,
2016-11-01,12.0,,104.0,,652.3079999999992,
2016-11-02,13.0,,122.0,,795.5199999999995,
2016-11-03,13.0,,61.0,,627.0299999999986,
2016-11-04,7.0,,25.0,,247.20599999999973,
2016-11-05,7.0,,29.0,,250.66599999999974,
2016-11-06,13.0,,58.0,,472.47299999999916,
2016-11-07,14.0,,112.0,,739.5939999999997,
2016-11-08,16.0,,52.0,,486.5689999999994,
2016-11-09,15.0,,101.0,,674.0969999999998,
2016-11-10,15.0,,101.0,,856.4069999999996,
2016-11-11,16.0,,70.0,,615.8559999999992,
2016-11-12,7.0,,67.0,,576.6419999999993,
2016-11-13,10.0,,75.0,,611.6439999999999,
2016-11-14,16.0,,112.0,,916.9909999999996,
2016-11-15,13.0,,104.0,,818.4959999999992,
2016-11-16,14.0,,113.0,,870.136999999999,
2016-11-17,15.0,,119.0,,880.4689999999996,
2016-11-18,16.0,,109.0,,862.8709999999992,
2016-11-19,13.0,,114.0,,877.3379999999997,
2016-11-20,10.0,,32.0,,364.16699999999963,
2016-11-21,16.0,,118.0,,969.0339999999992,
2016-11-22,14.0,,20.0,,306.1419999999997,
2016-11-23,11.0,,32.0,,358.069,
2016-11-24,12.0,,8.0,,229.146,
2016-11-25,13.0,,20.0,,287.67599999999965,
2016-11-26,13.0,,32.0,,392.3999999999993,
2016-11-27,10.0,,45.0,,420.7639999999996,
2016-11-28,15.0,,102.0,,819.5229999999992,
2016-11-29,14.0,,101.0,,800.2339999999998,
2016-11-30,15.0,,115.0,,823.2069999999992,
2016-12-01,15.0,,135.0,,927.9829999999994,
2016-12-02,16.0,,58.0,,695.0619999999988,
2016-12-03,16.0,,48.0,,709.0210000000006,
2016-12-04,12.0,,33.0,,373.605,
2016-12-05,14.0,,154.0,,1128.3109999999995,
2016-12-06,15.0,,177.0,,1161.7409999999995,
2016-12-07,16.0,,160.0,,1221.3949999999998,
2016-12-08,14.0,,112.0,,1012.2809999999997,
2016-12-09,16.0,,42.0,,550.1479999999983,
2016-12-10,13.0,,26.0,,387.13199999999983,
2016-12-11,11.0,,18.0,,251.4469999999997,
2016-12-12,17.0,,175.0,,1275.5469999999993,
2016-12-13,11.0,,20.0,,355.992,
2016-12-14,1.0,,,,16.865999999999996,
2016-12-15,15.0,,34.0,,484.2979999999997,
2016-12-16,17.0,,54.0,,680.895,
2016-12-17,15.0,,54.0,,588.398,
2016-12-18,15.0,,49.0,,557.2170000000007,
2016-12-19,16.0,,149.0,,1153.1159999999988,
2016-12-20,12.0,,107.0,,789.7109999999992,
2016-12-21,15.0,,42.0,,541.7869999999999,
2016-12-22,9.0,,30.0,,285.4299999999997,
2016-12-23,8.0,,17.0,,316.4789999999998,
2016-12-24,12.0,,18.0,,354.3499999999998,
2016-12-25,13.0,,45.0,,471.94999999999936,
2016-12-26,15.0,,40.0,,496.1379999999994,
2016-12-27,13.0,,45.0,,487.7909999999978,
2016-12-28,9.0,,35.0,,402.81299999999976,
2016-12-29,11.0,,38.0,,485.5129999999979,
2016-12-30,13.0,,49.0,,437.28199999999947,
2016-12-31,14.0,,59.0,,609.5690000000004,
2017-01-01,12.0,,65.0,,690.9440000000003,
2017-01-02,6.0,,9.0,,229.22999999999942,
2017-01-03,14.0,,114.0,,877.0569999999993,
2017-01-04,18.0,,124.0,,942.0339999999987,
2017-01-05,18.0,,52.0,,615.3600000000004,
2017-01-06,16.0,,69.0,,699.9120000000011,
2017-01-07,15.0,,59.0,,571.2390000000001,
2017-01-08,10.0,,42.0,,404.62599999999986,
2017-01-09,18.0,,115.0,,852.6409999999988,
2017-01-10,11.0,,33.0,,398.650999999999,
2017-01-11,14.0,,119.0,,891.0989999999989,
2017-01-12,16.0,,90.0,,744.6839999999994,
2017-01-13,14.0,,63.0,,655.5320000000016,
2017-01-14,11.0,,31.0,,390.98099999999937,
2017-01-15,14.0,,116.0,,1018.7840000000014,
2017-01-16,9.0,,16.0,,237.6679999999998,
2017-01-17,15.0,,38.0,,398.78799999999967,
2017-01-18,14.0,,99.0,,777.5969999999992,
2017-01-19,16.0,,38.0,,620.4870000000002,
2017-01-20,15.0,,112.0,,768.5659999999997,
2017-01-21,14.0,,121.0,,896.1389999999997,
2017-01-22,15.0,,104.0,,986.4619999999992,
2017-01-23,13.0,,96.0,,796.8529999999995,
2017-01-24,15.0,,92.0,,688.7129999999989,
2017-01-25,15.0,,20.0,,437.03799999999916,
2017-01-26,13.0,,37.0,,516.8239999999994,
2017-01-27,14.0,,110.0,,867.2519999999997,
2017-01-28,10.0,,72.0,,552.8419999999996,
2017-01-29,11.0,,52.0,,512.1189999999993,
2017-01-30,14.0,,128.0,,935.8939999999997,
2017-01-31,16.0,,104.0,,821.0799999999997,
2017-02-01,16.0,,75.0,,749.37,
2017-02-02,14.0,,35.0,,379.74499999999847,
2017-02-03,15.0,,32.0,,485.60899999999964,
2017-02-04,14.0,,63.0,,639.2780000000001,
2017-02-05,16.0,,45.0,,535.4209999999996,
2017-02-06,16.0,,108.0,,798.3279999999997,
2017-02-07,13.0,,112.0,,894.8489999999996,
2017-02-08,14.0,,105.0,,813.9349999999989,
2017-02-09,15.0,,85.0,,786.9719999999994,
2017-02-10,13.0,,31.0,,461.81399999999985,
2017-02-11,11.0,,16.0,,378.971999999999,
2017-02-12,8.0,,8.0,,245.95499999999973,
2017-02-13,17.0,,130.0,,1032.1769999999988,
2017-02-14,13.0,,111.0,,807.7929999999992,
2017-02-15,16.0,,30.0,,509.11799999999926,
2017-02-16,16.0,,177.0,,1327.1749999999988,
2017-02-17,11.0,,25.0,,432.9399999999993,
2017-02-18,12.0,,97.0,,795.7889999999999,
2017-02-19,12.0,,64.0,,511.29299999999984,
2017-02-20,16.0,,181.0,,1239.504999999999,
2017-02-21,13.0,,34.0,,451.64799999999946,
2017-02-22,16.0,,172.0,,1262.4219999999993,
2017-02-23,17.0,,52.0,,546.1999999999994,
2017-02-24,10.0,,89.0,,643.4809999999998,
2017-02-25,8.0,,39.0,,388.37699999999995,
2017-02-26,18.0,,113.0,,859.7739999999997,
2017-02-27,17.0,,133.0,,1085.6409999999996,
2017-02-28,13.0,,33.0,,434.1009999999994,
2017-03-01,14.0,,95.0,,815.9359999999997,
2017-03-02,12.0,,37.0,,507.6609999999991,
2017-03-03,15.0,,47.0,,540.6239999999998,
2017-03-04,15.0,,38.0,,434.6599999999996,
2017-03-05,13.0,,12.0,,240.0469999999999,
2017-03-06,15.0,,49.0,,503.61400000000003,
2017-03-07,15.0,,37.0,,477.09899999999914,
2017-03-08,12.0,,15.0,,371.0189999999997,
2017-03-09,12.0,,29.0,,421.5319999999994,
2017-03-10,14.0,,46.0,,511.4289999999993,
2017-03-17,15.0,,75.0,,704.3000000000006,
2017-03-18,13.0,,34.0,,448.82,
2017-03-19,12.0,,12.0,,278.39900000000006,
2017-03-20,12.0,,22.0,,388.0479999999994,
2017-03-21,13.0,,61.0,,670.5629999999996,
2017-03-22,15.0,,36.0,,583.7579999999988,
2017-03-23,17.0,,101.0,,790.9219999999997,
2017-03-24,14.0,,63.0,,737.8329999999994,
2017-03-25,11.0,,33.0,,344.52000000000015,
2017-03-26,13.0,,17.0,,284.7439999999992,
2017-03-27,15.0,,92.0,,743.6959999999997,
2017-03-28,14.0,,16.0,,426.01599999999996,
2017-03-29,18.0,,36.0,,548.3609999999992,
2017-03-30,13.0,,29.0,,529.5520000000001,
2017-03-31,14.0,,30.0,,438.6389999999989,
2017-04-01,13.0,,28.0,,382.3189999999992,
2017-04-02,4.0,,8.0,,97.85200000000003,
2017-04-03,15.0,,120.0,,897.1639999999994,
2017-04-04,14.0,,83.0,,650.3529999999994,
2017-04-05,15.0,,26.0,,485.14799999999985,
2017-04-06,17.0,,87.0,,709.1859999999992,
